spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",
ham,Oh k...i'm watching here:),
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,
ham,WHO ARE YOU SEEING?,
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,
ham,No calls..messages..missed calls,
ham,Didn't you get hep b immunisation in nigeria.,
ham,"Fair enough, anything going on?",
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",
ham,I plane to give on this month end.,
ham,Wah lucky man... Then can save money... Hee...,
ham,Finished class where are you.,
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,
ham,K..k:)where are you?how did you performed?,
ham,U can call me now...,
ham,I am waiting machan. Call me once you free.,
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,
ham,I like you peoples very much:) but am very shy pa.,
